NB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
NC,0.0,5.0,1.0,1.0,9.0,13.0,19.0,18.0,12.0,24.0,34.0,109.0,106.0,121.0,252.0,9534.0,75835.0,75359.0,103416.0,94547.0,53543.0,47022.0,18645.0,67477.0,19258.0,2890.0,53353.0,11009.0,3209.0,837.0
ND,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,8.0,935.0,6784.0,6349.0,9139.0,8886.0,5433.0,5485.0,1681.0,8302.0,2014.0,387.0,5136.0,1208.0,426.0,115.0
NE,1.0,6.0,0.0,1.0,1.0,4.0,3.0,8.0,4.0,6.0,9.0,6.0,14.0,24.0,42.0,1800.0,14997.0,14638.0,20545.0,19689.0,11039.0,9079.0,3749.0,13300.0,4229.0,591.0,9508.0,2480.0,566.0,94.0
NH,0.0,3.0,0.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,8.0,10.0,14.0,28.0,33.0,1540.0,11978.0,11431.0,16069.0,14475.0,7985.0,6458.0,2975.0,9068.0,2754.0,531.0,7937.0,1539.0,455.0,90.0
NJ,0.0,7.0,0.0,5.0,10.0,11.0,13.0,10.0,8.0,10.0,15.0,106.0,108.0,154.0,249.0,6074.0,54660.0,50845.0,72036.0,64528.0,36171.0,32941.0,9985.0,42303.0,13447.0,1994.0,38317.0,7752.0,2354.0,461.0
NM,0.0,6.0,1.0,2.0,0.0,3.0,3.0,5.0,6.0,5.0,13.0,21.0,24.0,23.0,44.0,1366.0,12919.0,12553.0,16896.0,17037.0,9821.0,9285.0,3868.0,11919.0,3558.0,584.0,8271.0,2317.0,611.0,102.0
NS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
NV,0.0,4.0,2.0,0.0,2.0,4.0,4.0,10.0,4.0,2.0,9.0,11.0,21.0,11.0,46.0,2162.0,18828.0,17065.0,24406.0,24789.0,14454.0,12461.0,3723.0,17056.0,4647.0,814.0,11380.0,3255.0,682.0,191.0
NY,0.0,10.0,2.0,4.0,24.0,16.0,23.0,16.0,6.0,31.0,36.0,147.0,176.0,229.0,460.0,13993.0,107946.0,102580.0,143001.0,132353.0,73991.0,67046.0,22530.0,76693.0,24041.0,4062.0,67715.0,14176.0,4216.0,1074.0
NÖ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,1.0,6.0,1.0,5.0,15.0,20.0,23.0,38.0,20.0,33.0,46.0,123.0,154.0,189.0,276.0,9132.0,80413.0,82453.0,115411.0,102029.0,56286.0,47359.0,19796.0,68121.0,18872.0,3273.0,54388.0,11575.0,3219.0,902.0
OK,0.0,8.0,0.0,5.0,1.0,3.0,1.0,9.0,3.0,6.0,28.0,17.0,25.0,30.0,43.0,2382.0,21043.0,19002.0,28290.0,28958.0,15376.0,14282.0,5243.0,17968.0,5603.0,879.0,14018.0,3290.0,1038.0,223.0
ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,2.0,0.0,26.0,2.0,0.0,0.0
OR,0.0,13.0,3.0,2.0,5.0,8.0,2.0,9.0,10.0,9.0,14.0,26.0,45.0,79.0,80.0,3838.0,29685.0,28816.0,41315.0,38871.0,22783.0,20912.0,6851.0,25112.0,6614.0,1342.0,20547.0,4376.0,1332.0,289.0
P0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PA,0.0,8.0,0.0,5.0,21.0,13.0,27.0,13.0,18.0,31.0,35.0,111.0,145.0,157.0,217.0,9786.0,85551.0,86719.0,121297.0,104758.0,58079.0,51440.0,18253.0,68969.0,21650.0,3512.0,57032.0,12190.0,3291.0,865.0
